"Время","Amigo, Визиты","Amigo, Доля","UC Browser, Визиты","UC Browser, Доля","Internet Explorer, Визиты","Internet Explorer, Доля","Android Browser, Визиты","Android Browser, Доля","Firefox, Визиты","Firefox, Доля","Opera, Визиты","Opera, Доля","Safari, Визиты","Safari, Доля","Яндекс.Браузер, Визиты","Яндекс.Браузер, Доля","Google Chrome, Визиты","Google Chrome, Доля","Edge, Визиты","Edge, Доля","Samsung Internet, Визиты","Samsung Internet, Доля","MIUI browser, Визиты","MIUI browser, Доля","Остальные, Визиты","Остальные, Доля"
"2015-01-05 - 2015-01-11","50681909","0.01902772261116168","11541176","0.004332952326925896","216571917","0.08130850718435903","129912457","0.048773581033233565","248760000","0.0933930147886217","394577810","0.14813800950551523","228335490","0.08572495495392017","327999377","0.12314218791935884","996266448","0.37403250969396856","0","0.0","0","0.0","0","0.0","58935918","0.022126559982935345"
"2015-01-12 - 2015-01-18","52409961","0.016991553208287356","12109735","0.00392603243094876","304830205","0.09882737076928264","132634207","0.0430006270273603","326669857","0.1059078875628074","436812010","0.1416164860327591","247299831","0.08017575584223331","351278446","0.11388610661499056","1157462396","0.37525469420261104","0","0.0","0","0.0","0","0.0","62964816","0.020413486308719503"
"2015-01-19 - 2015-01-25","54733146","0.017168562304045617","12718670","0.003989561979857614","315021803","0.098815285566415","134674237","0.04224429249296771","335995911","0.10539439358936295","454287055","0.14249967666190608","251421184","0.07886519554459591","367119713","0.11515723334602118","1197241321","0.3755477935174123","0","0.0","0","0.0","0","0.0","64773527","0.02031800499741566"
"2015-01-26 - 2015-02-01","54703505","0.01709820331413988","13420135","0.00419461598910718","316889884","0.09904754119185237","134898722","0.04216413144959605","337768850","0.10557349973247997","454360212","0.1420154573757513","254112310","0.07942569568450396","368903905","0.11530511566069018","1199747941","0.3749948786816987","0","0.0","0","0.0","0","0.0","64566072","0.02018086092018042"
"2015-02-02 - 2015-02-08","54488961","0.017157192340134398","14048150","0.004423406267061306","311738324","0.09815849461066317","133583320","0.04206200068071994","333865785","0.10512587107386684","445826861","0.1403795753157298","254068274","0.07999965799575381","368813514","0.11613002489327794","1195710994","0.3764990767078728","0","0.0","0","0.0","0","0.0","63722819","0.020064700114919988"
"2015-02-09 - 2015-02-15","55623831","0.01731118460331194","13985867","0.004352665415554864","316646775","0.09854644452785678","133748785","0.04162514278463989","336564777","0.1047453021640943","449114309","0.13977283785232053","256830942","0.07993062989143092","373341627","0.1161909510529368","1213011916","0.3775121710673454","0","0.0","0","0.0","0","0.0","64304173","0.02001267064050851"
"2015-02-16 - 2015-02-22","55332623","0.017531658114348436","13687191","0.0043366668729546195","307367903","0.0973868343584618","131387706","0.041629046611806685","329491189","0.10439640421958965","440178646","0.13946675780956214","250934927","0.0795065390106842","367951616","0.11658225445654401","1196430076","0.37907841546127163","0","0.0","0","0.0","0","0.0","63392700","0.020085423084776878"
"2015-02-23 - 2015-03-01","55413878","0.017592314727913255","14098261","0.004475792952593302","291577275","0.09256741044738492","132887858","0.04218807825458895","320905272","0.10187820716807817","439429777","0.1395063333737577","261255931","0.08294125458402296","371777342","0.11802862830085711","1199030026","0.3806575960197193","0","0.0","0","0.0","0","0.0","63515617","0.020164384171084317"
"2015-03-02 - 2015-03-08","52917124","0.017270023608798327","14521721","0.004739306401277258","293155373","0.09567413778488942","127317049","0.04155117050640419","318096197","0.10381382087316314","424743195","0.1386191170428391","248049391","0.08095335715368898","356695036","0.11641093141912189","1167952044","0.3811726308826659","0","0.0","0","0.0","0","0.0","60655456","0.019795504327151794"
"2015-03-09 - 2015-03-15","54521823","0.017758109385843504","15371897","0.005006725992891317","273916514","0.08921637521549736","129048179","0.04203182418764524","310348554","0.10108252560943093","426937270","0.1390562223415274","254648568","0.08294068093600628","367356524","0.11965038910740834","1177379648","0.3834801447825749","0","0.0","0","0.0","0","0.0","60720328","0.019777002441174724"
"2015-03-16 - 2015-03-22","52986827","0.017076127201126532","16194766","0.005219106330116335","282958489","0.09118936581732971","127175461","0.0409849857380195","321921733","0.10374609639326192","425981809","0.13728165975762216","254039268","0.08186953437406382","370387633","0.11936525912057673","1190799415","0.38376033125303133","0","0.0","0","0.0","0","0.0","60531426","0.01950753401485199"
"2015-03-23 - 2015-03-29","52384331","0.0168432769643029","15501113","0.004984115183487906","281596902","0.09054262070609742","126025452","0.040521307651852245","320508114","0.10305384893449089","425180124","0.13670932608166075","253799407","0.08160481624699639","377109857","0.12125316189338489","1197750474","0.3851159799617767","0","0.0","0","0.0","0","0.0","60247510","0.019371546375949872"
"2015-03-30 - 2015-04-05","50726636","0.016240631108096263","11287270","0.0036137304332083385","283124338","0.09064503964311689","127748907","0.04090006822154531","322595265","0.10328204488236825","428780000","0.13727813148361573","255461322","0.08178845317061033","379122604","0.12137982807109188","1204166466","0.3855257298561241","0","0.0","0","0.0","0","0.0","60427141","0.019346343130222928"
"2015-04-06 - 2015-04-12","46955336","0.015659560293665595","13170868","0.004392472062512998","268265671","0.08946634839851127","122419212","0.040826691803824616","311421101","0.1038586436231491","408414495","0.13620584909155983","244290468","0.08147064079817863","363365996","0.12118221713991892","1162983470","0.3878538909614327","0","0.0","0","0.0","0","0.0","57222608","0.01908368582724637"
"2015-04-13 - 2015-04-19","46285352","0.015273749139147141","14472943","0.004775940791963204","269314239","0.08887127240787361","121494866","0.04009221113794916","315671002","0.10416858653362332","410108692","0.13533217337078393","247196189","0.08157251518664488","371893107","0.12272137463480899","1177122926","0.3884399599610448","0","0.0","0","0.0","0","0.0","56826451","0.01875221683616098"
"2015-04-20 - 2015-04-26","46317259","0.015284126358677179","14506800","0.004787065751452565","269494206","0.08892977663974841","120972307","0.0399193748941121","316504257","0.10444251584592334","408817112","0.1349046237256285","244295381","0.08061447401378358","376923910","0.12438025894508704","1176409414","0.3882006517940402","0","0.0","0","0.0","0","0.0","56175219","0.018537132031547096"
"2015-04-27 - 2015-05-03","41067855","0.015470497359772574","13329812","0.005021416905077336","230516685","0.08683696206378508","108811583","0.040989949621526967","272722615","0.10273617882667045","355779780","0.13402429094849164","218631724","0.08235982884678358","330424221","0.1244727059298668","1033622930","0.3893717071311709","0","0.0","0","0.0","0","0.0","49684567","0.01871646236685465"
"2015-05-04 - 2015-05-10","41122045","0.015439737972471829","13683338","0.005137564372315792","231489730","0.08691544339582945","108409132","0.04070343758203442","271846303","0.10206777622818083","355341532","0.13341700649412533","218155105","0.08190880727252449","332434774","0.124816404522146","1041536805","0.3910568007472753","0","0.0","0","0.0","0","0.0","49371319","0.01853702141309655"
"2015-05-11 - 2015-05-17","42668313","0.015017841780002948","15277669","0.00537723663481272","239558551","0.08431672505929087","113832631","0.040065339395055494","292526416","0.10295967014114953","375986059","0.13233471746466405","238981835","0.08411374000947189","356326158","0.12541507940377983","1114349045","0.3922141858645169","0","0.0","0","0.0","0","0.0","51668082","0.01818546424725576"
"2015-05-18 - 2015-05-24","41827427","0.014600289735039467","15158097","0.005291088262059067","260914692","0.09107493270691941","110912359","0.03871508942198888","299173119","0.10442942661367721","376062070","0.1312682986777717","234374169","0.08181069263019944","355281979","0.12401479610587109","1120558605","0.3911424027610315","0","0.0","0","0.0","0","0.0","50572891","0.017652983085442234"
